Sequoia_ID,Season_Year,Species,Harvest_Date,How_Taken,Harvest_BMU,Harvest_County,Registration_Sex,BirthYear,Latitude,Longitude
BB21_1152,2021,Black Bear,8-Sep-21,Hunting,Gwinn,Delta,M,2018,45.3651554533306,-87.7774615248429
BB21_1176,2021,Black Bear,10-Sep-21,Hunting,Gwinn,Delta,M,2017,45.8608547866,-87.790283901
BB21_1178,2021,Black Bear,8-Sep-21,Hunting,Gwinn,Delta,F,2019,46.4270535906,-88.5855765101
BB21_1153,2021,Black Bear,11-Sep-21,Hunting,Newberry,Delta,F,2019,46.7221631716292,-89.67614066611
BB21_1155,2021,Black Bear,12-Sep-21,Hunting,Newberry,Delta,M,2019,46.5273833862,-85.0840803006
BB21_1149,2021,Black Bear,10-Sep-21,Hunting,Carney,Delta,F,2020,46.1942485487,-86.251030288
BB21_1156,2021,Black Bear,11-Sep-21,Hunting,Gwinn,Marquette,M,2019,46.7585101205,-89.687077747
BB21_1154,2021,Black Bear,10-Sep-21,Hunting,Gwinn,Delta,F,2016,46.2826653023,-89.6261902614
BB21_1158,2021,Black Bear,14-Sep-21,Hunting,Gwinn,Marquette,F,2020,46.2965351423,-88.9805687255
BB21_1159,2021,Black Bear,8-Sep-21,Hunting,Carney,Dickinson,F,2019,46.1798061386,-86.0637810801
BB21_1164,2021,Black Bear,29-Sep-21,Hunting,Newberry,Chippewa,M,2015,47.3801451327,-88.3939097221
BB21_1157,2021,Black Bear,8-Sep-21,Hunting,Gwinn,Delta,F,2017,45.964052844,-87.9607153931
BB21_1162,2021,Black Bear,13-Sep-21,Hunting,Gwinn,Delta,M,2018,46.5130223313,-89.7928965351
BB21_1163,2021,Black Bear,9-Sep-21,Hunting,Gwinn,Marquette,F,2019,46.2826653023,-89.6261902614
BB21_1161,2021,Black Bear,13-Sep-21,Hunting,Gwinn,Alger,M,2020,46.4987378819,-89.2723952837
BB21_1160,2021,Black Bear,9-Sep-21,Hunting,Gwinn,Delta,M,2020,46.3814804849,-85.9592469391
BB21_1170,2021,Black Bear,12-Sep-21,Hunting,Gwinn,Alger,F,2012,46.4117719687,-85.4162039721
BB21_1168,2021,Black Bear,11-Sep-21,Hunting,Gwinn,Delta,M,2020,46.2970096146,-87.5017190256
